Date,Species,Pot,Height,Notes
22/01/2020,Corymbia calophylla,1,335,
22/01/2020,Corymbia calophylla,2,510,
22/01/2020,Corymbia calophylla,3,610,
22/01/2020,Corymbia calophylla,4,571,
22/01/2020,Corymbia calophylla,5,665,
22/01/2020,Corymbia calophylla,6,580,
22/01/2020,Corymbia calophylla,7,400,
22/01/2020,Corymbia calophylla,8,662,
22/01/2020,Corymbia calophylla,9,800,
22/01/2020,Corymbia calophylla,10,680,
22/01/2020,Corymbia calophylla,11,850,
22/01/2020,Corymbia calophylla,12,700,
22/01/2020,Corymbia calophylla,13,528,
22/01/2020,Corymbia calophylla,14,590,
22/01/2020,Corymbia calophylla,15,860,
22/01/2020,Corymbia calophylla,16,445,
22/01/2020,Corymbia calophylla,17,103,
22/01/2020,Corymbia calophylla,18,690,
22/01/2020,Corymbia calophylla,19,675,
22/01/2020,Corymbia calophylla,20,740,
22/01/2020,Corymbia calophylla,21,755,
22/01/2020,Corymbia calophylla,22,760,
22/01/2020,Corymbia calophylla,23,765,
22/01/2020,Corymbia calophylla,24,555,
22/01/2020,Corymbia calophylla,25,680,
22/01/2020,Corymbia calophylla,26,615,
22/01/2020,Corymbia calophylla,27,710,
22/01/2020,Corymbia calophylla,29,615,
22/01/2020,Corymbia calophylla,30,640,
22/01/2020,Corymbia calophylla,31,606,
22/01/2020,Corymbia calophylla,32,600,
22/01/2020,Corymbia calophylla,33,765,
22/01/2020,Corymbia calophylla,34,63,"50/63, 2 stems of equal thickness, no clear main stem"
22/01/2020,Corymbia calophylla,35,500,
22/01/2020,Corymbia calophylla,36,650,
22/01/2020,Corymbia calophylla,37,539,
22/01/2020,Corymbia calophylla,38,885,
22/01/2020,Corymbia calophylla,39,570,
22/01/2020,Corymbia calophylla,40,691,
22/01/2020,Corymbia calophylla,41,605,
22/01/2020,Corymbia calophylla,42,445,
22/01/2020,Corymbia calophylla,43,475,
22/01/2020,Eucalyptus marginata,1,502,Rust-like colouration of leaves
22/01/2020,Eucalyptus marginata,2,455,
22/01/2020,Eucalyptus marginata,3,325,
22/01/2020,Eucalyptus marginata,4,265,
22/01/2020,Eucalyptus marginata,4,260,
22/01/2020,Eucalyptus marginata,5,255,
22/01/2020,Eucalyptus marginata,5,275,Red colouration of leaves
22/01/2020,Eucalyptus marginata,6,215,
22/01/2020,Eucalyptus marginata,6,500,
22/01/2020,Eucalyptus marginata,7,180,
22/01/2020,Eucalyptus marginata,8,270,
22/01/2020,Eucalyptus marginata,8,315,
22/01/2020,Eucalyptus marginata,9,176,
22/01/2020,Eucalyptus marginata,9,205,
22/01/2020,Eucalyptus marginata,11,401,
22/01/2020,Eucalyptus marginata,13,505,
22/01/2020,Eucalyptus marginata,15,220,
22/01/2020,Eucalyptus marginata,18,450,
22/01/2020,Eucalyptus marginata,19,435,
22/01/2020,Eucalyptus marginata,20,365,
22/01/2020,Eucalyptus marginata,22,450,
22/01/2020,Eucalyptus marginata,24,340,
22/01/2020,Eucalyptus marginata,25,630,
22/01/2020,Eucalyptus marginata,26,376,
22/01/2020,Eucalyptus marginata,26,34,"Main plant dead, new growth at base"
22/01/2020,Eucalyptus ovata,1,710,Powdery mildew
22/01/2020,Eucalyptus ovata,2,750,Powdery mildew
22/01/2020,Eucalyptus ovata,3,375,Powdery mildew
22/01/2020,Eucalyptus ovata,4,670,Minor powdery mildew
22/01/2020,Eucalyptus ovata,5,580,
22/01/2020,Eucalyptus ovata,6,70,Extensive powdery mildew
22/01/2020,Eucalyptus ovata,7,780,Powdery mildew
22/01/2020,Eucalyptus ovata,8,641,Minor powdery mildew
22/01/2020,Eucalyptus ovata,9,603,Minor powdery mildew
22/01/2020,Eucalyptus ovata,10,670,Powdery mildew
22/01/2020,Eucalyptus ovata,11,560,Powdery mildew
22/01/2020,Eucalyptus ovata,12,782,Minor powdery mildew
22/01/2020,Eucalyptus ovata,13,595,Powdery mildew
22/01/2020,Eucalyptus ovata,14,700,Minor powdery mildew
22/01/2020,Eucalyptus ovata,15,675,Minor powdery mildew
22/01/2020,Eucalyptus ovata,16,762,Minor powdery mildew
22/01/2020,Eucalyptus ovata,17,420,Powdery mildew
22/01/2020,Eucalyptus ovata,18,360,Powdery mildew
22/01/2020,Eucalyptus ovata,19,415,Very minor powdery mildew
22/01/2020,Eucalyptus ovata,20,785,Minor powdery mildew
22/01/2020,Eucalyptus ovata,21,525,White colouration of leaves (not powdery mildew)
22/01/2020,Eucalyptus ovata,22,662,Powdery mildew
22/01/2020,Eucalyptus ovata,23,412,Minor powdery mildew
22/01/2020,Eucalyptus ovata,24,618,
22/01/2020,Eucalyptus ovata,25,501,Minor powdery mildew
22/01/2020,Eucalyptus ovata,26,390,
22/01/2020,Eucalyptus ovata,27,550,Minor powdery mildew
22/01/2020,Eucalyptus ovata,28,330,Powdery mildew
22/01/2020,Eucalyptus ovata,29,591,Minor powdery mildew
22/01/2020,Eucalyptus ovata,30,530,Minor powdery mildew
22/01/2020,Eucalyptus ovata,31,390,Very minor powdery mildew
22/01/2020,Eucalyptus ovata,32,558,Minor powdery mildew
22/01/2020,Eucalyptus ovata,33,410,Powdery mildew
22/01/2020,Eucalyptus salmonophloia,1,575,
22/01/2020,Eucalyptus salmonophloia,2,566,
22/01/2020,Eucalyptus salmonophloia,3,596,
22/01/2020,Eucalyptus salmonophloia,5,495,
