Species,Pot_number,New_or_old_plant,Plant_part,Fresh_mass_g,Diameter_TB_sapwood_mm,Dry_mass_g,TB_extra_dry_mass,Notes
Corymbia calophylla,1,Old,Rest_leaves,14.16,,4.7643,,
Corymbia calophylla,1,Old,Leaves_not_included,,,3.2387,,
Corymbia calophylla,2,Old,Rest_leaves,0.09,,0.0093,,
Corymbia calophylla,3,Old,NA,,,,,
Corymbia calophylla,4,Old,Rest_leaves,1.07,,0.4389,,Only one leaf
Corymbia calophylla,4,Old,Leaves_not_included,,,0.0359,,
Corymbia calophylla,5,Old,A,2.13,1.84,0.9094,0.1423,
Corymbia calophylla,5,Old,B,3.58,2.44,1.5226,0.4246,
Corymbia calophylla,5,Old,C,3.84,2.56,1.6113,0.4367,
Corymbia calophylla,5,Old,Rest_leaves,28.22,,,,
Corymbia calophylla,5,Old,Leaves_not_included,,,0.1826,,
Corymbia calophylla,6,Old,NA,,,,,
Corymbia calophylla,7,Old,A,6.03,3.19,2.5855,0.4369,
Corymbia calophylla,7,Old,B,9.02,3.53,3.8539,0.6672,
Corymbia calophylla,7,Old,C,4.45,2.84,1.9172,0.3567,
Corymbia calophylla,7,Old,Rest_leaves,64.13,,,,
Corymbia calophylla,7,Old,Leaves_not_included,,,0.1454,,
Corymbia calophylla,8,Old,A,1.29,0.87,0.5146,0.4461,Two leaves
Corymbia calophylla,9,Old,A,3.77,3.11,1.4582,0.6425,
Corymbia calophylla,9,Old,B,4.19,3.22,1.6006,0.9346,
Corymbia calophylla,9,Old,Rest_leaves,34,,,,
Corymbia calophylla,9,Old,Leaves_not_included,,,2.7396,,
Corymbia calophylla,10,Old,NA,,,,,
Corymbia calophylla,11,Old,NA,,,,,
Corymbia calophylla,12,Old,NA,,,,,
Corymbia calophylla,13,Old,Rest_leaves,0.44,,0.0518,,
Corymbia calophylla,14,Old,NA,,,,,
Corymbia calophylla,15,Old,Rest_leaves,,,0.1558,,
Corymbia calophylla,17,Old,Rest_leaves,4.56,,1.7355,,
Corymbia calophylla,18,Old,A,4.57,NA,1.886,0.6181,Not TB; one envelope says extra L LMA etc and other says L not inc. extra and stem
Corymbia calophylla,18,Old,B,2.08,2.43,0.9356,0.1977,
Corymbia calophylla,18,Old,C,1.65,2,0.7287,0.1356,
Corymbia calophylla,18,Old,Rest_leaves,46.22,,,,
Corymbia calophylla,18,Old,Leaves_not_included,,,0.5964,,
Corymbia calophylla,19,Old,A,2.28,2,0.9877,0.1162,S is only part of the stem. 3 leaves
Corymbia calophylla,19,Old,B,9.39,NA,3.9421,1.0678,Not TB; envelope says extra L LMA etc and other envelope says L not inc. extra and stem
Corymbia calophylla,19,Old,Rest_leaves,42.82,,,,
Corymbia calophylla,19,Old,Leaves_not_included,,,3.0251,,
Corymbia calophylla,21,New,Rest_leaves,1.46,,0.4458,,
Corymbia calophylla,21,New,Leaves_not_included,,,0.2449,,
Corymbia calophylla,23,New,A,1.27,1.97,0.5403,0.3057,
Corymbia calophylla,23,New,B,2.36,2.89,1.0383,1.1295,
Corymbia calophylla,23,New,Rest_leaves,,,1.155,,
Corymbia calophylla,24,New,Rest_leaves,0.41,,0.0636,,
Corymbia calophylla,25,New,A,3.23,2.45,1.2688,0.2481,
Corymbia calophylla,25,New,B,4.39,2.5,1.7187,0.3034,
Corymbia calophylla,25,New,C,4.92,2.3,1.9158,0.2684,
Corymbia calophylla,25,New,Rest_leaves,55.02,,,,
Corymbia calophylla,25,New,Leaves_not_included,,,1.7518,,
Corymbia calophylla,26,New,A,7.24,3.15,2.967,1.7308,
Corymbia calophylla,26,New,B,2.07,2.09,0.8775,0.1756,
Corymbia calophylla,26,New,C,7.32,3.38,3.1198,0.5972,
Corymbia calophylla,26,New,Rest_leaves,31.87,,,,
Corymbia calophylla,26,New,Leaves_not_included,,,1.9272,,
Corymbia calophylla,27,New,A,5.03,3.18,2.0106,0.4416,
Corymbia calophylla,27,New,B,6.17,3.39,2.5978,0.6747,
Corymbia calophylla,27,New,C,3.48,2.67,1.4234,0.3424,
Corymbia calophylla,27,New,Rest_leaves,55.01,,,,
Corymbia calophylla,27,New,Leaves_not_included,,,2.9703,,
Corymbia calophylla,29,New,A,7.06,2.58,2.6244,0.8376,
Corymbia calophylla,29,New,B,9.27,3.17,3.8176,0.9813,
Corymbia calophylla,29,New,C,3.7,2.52,1.5461,0.5914,
Corymbia calophylla,29,New,Rest_leaves,40.32,,,,
Corymbia calophylla,29,New,Leaves_not_included,,,0.8248,,
Corymbia calophylla,30,New,Rest_leaves,,,0.2102,,Only one leaf
Corymbia calophylla,31,New,A,2.83,2.36,1.1597,0.3188,
Corymbia calophylla,31,New,B,4.13,2.76,1.7661,0.4282,
Corymbia calophylla,31,New,C,4.5,2.45,1.9072,0.5684,
