Pot,Species,Grass_Treatment,Watering,Height_wk 1,Leaves_wk1,Height_wk2,Leaves_wk2,Height_wk3,Leaves_wk3,Height_wk4,Leaves_wk4,Height_wk5,Leaves_wk5,Height_wk6,Leaves_wk6,Height_wk7,Leaves_wk7,Survival,Above_biomass,Below_biomass
21,OBLI,GRASS,DRY,0.6,0,0.7,0,0.7,0,,,,,,,,,0,,
23,VIMI,NO_GRASS,DRY,0.2,2,0.2,2,0.2,2,,,,,,,,,0,,
25,OBLI,NO_GRASS,DRY,3,6,3,6,5,8,6.1,14,9.5,14,11.4,14,11.4,20,1,2068.4,954.3
33,AMYG,GRASS,DRY,0.4,2,0.5,2,1.4,2,1.4,4,1.5,6,1.9,6,1.9,6,0,,
34,VIMI,NO_GRASS,DRY,0.2,2,0.1,2,0.1,2,,,,,,,,,0,,
39,VIMI,GRASS,DRY,2.9,2,4,4,4.2,6,6,8,6.9,10,7,10,7,10,0,,
47,VIMI,GRASS,DRY,1.7,2,1.7,2,1.7,2,1.7,2,,,,,,,0,,
50,AMYG,GRASS,DRY,0.3,2,0.6,2,0.9,2,0.9,2,0.9,2,,,,,0,,
54,AMYG,GRASS,DRY,1.5,2,1.9,3,2.5,3,2.5,5,2.7,5,2.7,5,2.7,5,0,,
57,VIMI,GRASS,DRY,2.6,4,2.6,4,2.7,4,2.7,6,2.8,8,3.1,8,3.1,8,1,5.12,
60,AMYG,GRASS,DRY,0.9,2,0.9,2,0.9,2,,,,,,,,,0,,
61,VIMI,GRASS,DRY,0.1,0,0.1,0,0.1,0,,,,,,,,,0,,
62,VIMI,NO_GRASS,DRY,1.6,2,2,4,2.9,6,3.1,8,4.1,10,6,10,10.2,10,1,140.3,19.9
70,VIMI,NO_GRASS,DRY,0.1,2,0.1,2,0.1,2,,,,,,,,,0,,
71,AMYG,NO_GRASS,DRY,0.9,2,1.2,2,1.9,2,1.9,2,,,,,,,0,,
74,OBLI,GRASS,DRY,1.3,2,1.3,2,2,2,2.4,2,2.4,2,2.4,2,2.7,2,0,,
86,VIMI,GRASS,DRY,4,6,4.5,6,4.8,6,6.9,8,6.9,8,6.9,8,7.1,8,0,,
94,OBLI,NO_GRASS,DRY,4.5,4,5,6,7.4,8,12.3,16,21.1,24,22.4,26,23.5,28,1,2699.7,979
106,VIMI,GRASS,DRY,1.3,4,1.3,6,1.3,4,1.3,6,1.4,8,1.4,8,1.4,8,0,,
113,OBLI,NO_GRASS,DRY,2,4,2,4,2.1,4,2.1,4,2.5,6,3,14,5.1,15,1,567.8,128.9
114,AMYG,GRASS,DRY,0.2,2,0.2,2,0.2,0,0.2,2,0.2,2,,,,,0,,
118,AMYG,NO_GRASS,DRY,0.4,2,0.5,4,0.9,4,2.3,6,3.5,6,5.5,8,11.4,12,1,712.3,110.9
120,AMYG,GRASS,DRY,2.1,2,2.5,2,2.5,2,2.9,2,3.1,4,3.1,6,3.1,6,0,,
123,OBLI,NO_GRASS,DRY,1.7,2,1.9,2,2.5,4,3,8,3.1,10,4,18,7.2,20,1,578.1,90
126,OBLI,GRASS,DRY,1.5,2,1.5,2,1.6,2,1.6,2,1.6,2,1.6,2,1.6,2,0,,
132,AMYG,GRASS,DRY,3.1,4,3.1,4,3.3,4,3.3,4,3.4,6,3.6,6,4.5,6,1,12.422,
151,OBLI,NO_GRASS,DRY,4.5,4,4.6,4,6.1,6,9,16,16.1,22,16.5,22,16.8,32,1,2359.9,225.7
152,VIMI,GRASS,DRY,1.2,4,1.2,4,2.1,8,3,6,5.1,8,5.9,10,6.2,10,1,40.3,
