ID,treatment,species,measure,wk_1,wk_2,wk_3,wk_4,wk_5,wk_6,wk_7,wk_8
am-c1,control,amyg,height,33.5,43.5,48,49.5,52,53,54.5,54.5
am-c2,control,amyg,height,61,65.5,67,70,70.5,72.5,72.5,73.5
am-c3,control,amyg,height,12,13.5,13.5,14,14,14,15,15
am-c4,control,amyg,height,21,23.5,24,24,24,24,24,26
am-c5,control,amyg,height,68.5,77.5,81,87.5,90,91,91.5,91.5
am-c6,control,amyg,height,56.5,59.5,61,62.5,64,65.5,66.5,67.5
am-c7,control,amyg,height,51,54.5,56,57,58.5,59.5,60.5,61
am-c8,control,amyg,height,50.5,55,58,59.5,62,62,62.5,62.5
am-c9,control,amyg,height,57,65,67.5,69,70.5,72,75,76.5
am-d1,drought,amyg,height,13,13.5,14,14,14,14,14,14.5
am-d2,drought,amyg,height,15.5,19.5,19,19.5,19.5,19.5,19,19
am-d3,drought,amyg,height,47.5,47.5,47.5,48,48,48,48,48
am-d4,drought,amyg,height,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5
am-d5,drought,amyg,height,42,42,42,42,42,42,42,42
am-d6,drought,amyg,height,51.5,53,54,54,53,53,53,51.5
am-d7,drought,amyg,height,46.5,47.5,47.5,48.5,48.5,48.5,49,49
am-d8,drought,amyg,height,62.5,64.5,66,65,65,65.5,66,64.5
am-d9,drought,amyg,height,48,48.5,48,48,48,48,48,48
gl-c1,control,globy,height,58.5,69.5,72.5,75,76,79,80,82
gl-c2,control,globy,height,70.5,74.5,78.5,81,83,86,89,89.5
gl-c3,control,globy,height,70,77,79.5,82,84,86,87.5,88
gl-c4,control,globy,height,67,75.5,79,80,83.5,85,86,87
gl-c5,control,globy,height,60,70,73,76,77.5,80,82,81.5
gl-c6,control,globy,height,56,67.5,69.5,71,74.5,77,78,79.5
gl-c7,control,globy,height,28,32.5,34,35,36,37,39.5,39.5
gl-c8,control,globy,height,44,44.5,46.5,47.5,48,49,51,50
gl-d1,drought,globy,height,74,78.5,78,78,78,79.5,79.5,78.5
gl-d2,drought,globy,height,63.5,69.5,69.5,70,70.5,70.5,69,69
gl-d3,drought,globy,height,65.5,70,70.5,71,71,71,71.5,70.5
gl-d4,drought,globy,height,64,67.5,68,69,69,69.5,70,69.5
gl-d5,drought,globy,height,69.5,73.5,73.5,74,74,74,74.5,74.5
gl-d6,drought,globy,height,74,77.5,77.5,77.5,77.5,77.5,77.5,78
gl-d7,drought,globy,height,82.5,86.5,86.5,86,86,86,86,86
gl-d8,drought,globy,height,49,54.5,55,54.5,55,55,55.5,55.5
ni-c1,control,niti,height,8,15.5,17.5,18.5,20,21,20.5,20.5
ni-c2,control,niti,height,38,50,54.5,56,59.5,63,68.5,69
ni-c3,control,niti,height,31.5,40.5,45.5,48.5,53,55.5,58.5,60
ni-c4,control,niti,height,36.5,47,52.5,54.5,57,58.5,60,59.5
ni-d1,drought,niti,height,23,32,32.5,32.5,32.5,33,33,32.5
ni-d2,drought,niti,height,33,36.5,40,40,40,40,40,40
ni-d3,drought,niti,height,30,36,37,36.5,36.5,36.5,36.5,36.5
ni-d4,drought,niti,height,20.5,33.5,35,35,35.5,36,36,35.5
ob-c1,control,obli,height,24,29,32,36,38,41,47.5,47.5
ob-c2,control,obli,height,68,73,77.5,78,79.5,83,86.5,88
ob-c3,control,obli,height,76.5,86.5,90,93,94.5,99,101,100.5
ob-c4,control,obli,height,14.4,19,20.5,21,22.5,23,25.5,25
ob-c5,control,obli,height,10,16.5,18,19,20.5,21.5,22,23.5
ob-c6,control,obli,height,63,76.5,82,85.5,88.5,91,92,92
