Pot_number,Identification,Watering_treatment,Grass_presence,Germination_26082021,Germination_28082021,Germination_30082021,Germination_1092021,Germination_3092021,Germination_5092021,Germination_7092021,Germination_9092021,Germination_110921
1,D,WET,GRASS,0,0,1,1,0,0,0,0,0
2,D,DRY,GRASS,0,0,0,0,0,0,0,0,1
3,BBBB,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0
4,CCCC,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0
5,CCCC,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0
6,BBBB,WET,NO_GRASS,0,0,2,3,3,4,4,4,4
7,CCCC,WET,GRASS,0,0,0,0,0,0,0,0,0
8,CCCC,WET,NO_GRASS,0,0,0,0,0,0,0,0,0
9,AAAA,WET,GRASS,0,0,0,1,1,2,2,2,2
10,BBBB,DRY,GRASS,1,2,2,2,2,2,2,2,3
11,DDDD,DRY,NO_GRASS,0,0,0,1,4,3,3,1,0
12,D,WET,GRASS,0,0,2,2,2,2,2,2,2
13,D,WET,NO_GRASS,0,0,0,0,0,0,0,0,0
14,D,WET,GRASS,0,0,0,0,0,1,1,0,0
15,B,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0
16,CCCC,DRY,GRASS,0,0,0,0,0,0,0,0,0
17,AAAA,DRY,NO_GRASS,1,1,1,1,1,1,1,1,1
18,CCCC,WET,NO_GRASS,0,0,0,0,0,0,0,0,0
19,C,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0
20,C,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0
21,BBBB,DRY,GRASS,1,1,1,0,0,1,1,1,1
22,CCCC,WET,NO_GRASS,0,0,0,0,0,0,0,0,0
23,DDDD,DRY,NO_GRASS,0,0,1,1,1,1,1,2,2
24,D,WET,NO_GRASS,0,0,0,1,1,1,1,1,1
25,BBBB,WET,NO_GRASS,3,3,3,3,3,3,3,3,3
26,AAAA,DRY,NO_GRASS,0,0,0,2,1,1,1,1,1
27,A,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0
28,B,WET,GRASS,0,0,0,0,0,0,0,0,0
29,DDDD,DRY,NO_GRASS,0,0,0,1,1,1,2,1,1
30,D,DRY,NO_GRASS,0,0,0,1,1,1,0,0,0
31,BBBB,WET,GRASS,1,2,1,1,1,1,1,0,0
32,CCCC,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0
33,A,DRY,GRASS,1,1,1,0,0,0,1,1,1
34,D,DRY,NO_GRASS,0,0,0,0,0,0,1,1,1
35,CCCC,WET,NO_GRASS,0,0,0,0,0,0,0,0,0
36,C,DRY,GRASS,0,0,0,0,0,0,0,0,0
37,A,WET,NO_GRASS,0,0,0,0,0,0,0,0,0
38,DDDD,WET,NO_GRASS,0,0,0,0,0,0,0,0,0
39,DDDD,WET,GRASS,0,0,0,2,2,2,3,3,3
40,A,DRY,GRASS,1,1,1,1,1,1,1,1,1
