Pot,Control_or_drought,Species,Treatment,Leaf,SC_wk1,Temperature_wk1,Time_wk1,Date_wk1,SC_wk2,Temperature_wk2,Time_wk2,Date_wk2,SC_wk3,Temperature_wk3,Time_wk3,Date_wk3
25,Drought,OBLI,DRY,1,637.1,24.5,8:22,22/10/2021,624.5,27,8:47,29/10/2021,505.5,24.1,7:46,5/11/2021
25,Drought,OBLI,DRY,2,756.1,24.2,8:25,22/10/2021,643.5,26.3,8:50,29/10/2021,542.4,23.9,7:49,5/11/2021
94,Drought,OBLI,DRY,1,778.7,24.1,8:29,22/10/2021,676.5,25.7,8:55,29/10/2021,548.8,24.5,7:53,5/11/2021
94,Drought,OBLI,DRY,2,815.2,23.9,8:32,22/10/2021,676.6,25.4,8:58,29/10/2021,584.4,24.6,7:56,5/11/2021
94,Drought,OBLI,DRY,3,758.4,23.3,8:44,22/10/2021,323.6,25.3,9:02,29/10/2021,140.9,24.2,8:00,5/11/2021
151,Drought,OBLI,DRY,1,770.9,23.7,8:37,22/10/2021,620.6,25.7,9:09,29/10/2021,138.5,23.7,8:04,5/11/2021
151,Drought,OBLI,DRY,2,751.6,23.5,8:40,22/10/2021,558.8,25.7,9:14,29/10/2021,151.1,24.1,8:06,5/11/2021
112,Control,OBLI,WET,1,877.5,23.2,8:48,22/10/2021,654.3,25.9,9:18,29/10/2021,610.2,24.5,8:09,5/11/2021
112,Control,OBLI,WET,2,536.1,23.4,8:53,22/10/2021,664.2,26,9:23,29/10/2021,531.6,24.3,8:12,5/11/2021
135,Control,OBLI,WET,1,757.9,24.4,8:57,22/10/2021,625.3,26.1,9:28,29/10/2021,476.1,23.9,8:17,5/11/2021
135,Control,OBLI,WET,2,847.2,25.1,9:00,22/10/2021,623.8,26.8,9:33,29/10/2021,437.6,23.7,8:21,5/11/2021
6,Control,OBLI,WET,1,,,,,,,,,559.6,23.7,8:26,5/11/2021
6,Control,OBLI,WET,2,,,,,,,,,554.3,23.6,8:31,5/11/2021
