Date,Species,Pot Number,Usable?,Height first plant (mm),Height second plant (mm),Height of third plant (mm),Number of leaves first plant,Number of leaves second plant,Number of leaves third plant,Notes
3/07/2019,Corymbia calophylla,1,Yes,175,NA,NA,9,NA,NA,Growing 9th leaf; sick
3/07/2019,Corymbia calophylla,2,Yes,240,NA,NA,10,NA,NA,
3/07/2019,Corymbia calophylla,3,Yes,75,NA,NA,8,NA,NA,
3/07/2019,Corymbia calophylla,4,Yes,165,120,NA,11,8,NA,Two plants
3/07/2019,Corymbia calophylla,5,Yes,145,NA,NA,8,NA,NA,
3/07/2019,Corymbia calophylla,6,No,160,120,NA,5,4,NA,"Two plants, both missing several older leaves"
3/07/2019,Corymbia calophylla,7,Yes,195,NA,NA,8,NA,NA,Missing older leaves
3/07/2019,Corymbia calophylla,8,Maybe,305,NA,NA,9,NA,NA,Missing older leaves
3/07/2019,Corymbia calophylla,9,Maybe,165,NA,NA,6,NA,NA,Very healthy
3/07/2019,Corymbia calophylla,10,Yes,330,NA,NA,12,NA,NA,
3/07/2019,Corymbia calophylla,11,Yes,25,NA,NA,6,NA,NA,Missing older leaves
3/07/2019,Corymbia calophylla,12,Maybe,210,NA,NA,5,NA,NA,Older 4 leaves yellowing
3/07/2019,Corymbia calophylla,13,No,95,NA,NA,7,NA,NA,
3/07/2019,Corymbia calophylla,14,Yes,235,NA,NA,11,NA,NA,8th leaf sick
3/07/2019,Corymbia calophylla,15,Yes,115,NA,NA,8,NA,NA,Very mottled and sick
3/07/2019,Corymbia calophylla,16,No,160,NA,NA,14,NA,NA,Bit sick; couple leaves lost
3/07/2019,Corymbia calophylla,17,Maybe,130,NA,NA,9,NA,NA,Three plants; tall sunburnt; all leaves lost from sickness
3/07/2019,Corymbia calophylla,18,No,265,155,145,15,6,4,"Two plants, one leaf sick of each"
3/07/2019,Corymbia calophylla,19,Maybe,140,185,NA,8,7,NA,
29/07/2019,Corymbia calophylla,1,Yes,170,NA,NA,9,NA,NA,
29/07/2019,Corymbia calophylla,2,Yes,240,NA,NA,10,NA,NA,
29/07/2019,Corymbia calophylla,3,Yes,80,NA,NA,6,NA,NA,
29/07/2019,Corymbia calophylla,4,Yes,170,120,NA,11,6,NA,
29/07/2019,Corymbia calophylla,5,Yes,150,NA,NA,8,NA,NA,Yellow veiny leaves
29/07/2019,Corymbia calophylla,6,Maybe,165,100,NA,5,3,NA,Top 2 leaves dessicating
29/07/2019,Corymbia calophylla,7,Yes,205,NA,NA,8,NA,NA,
29/07/2019,Corymbia calophylla,8,Yes,305,NA,NA,8,NA,NA,
29/07/2019,Corymbia calophylla,9,Yes,170,NA,NA,6,NA,NA,
29/07/2019,Corymbia calophylla,10,Yes,325,NA,NA,10,NA,NA,
29/07/2019,Corymbia calophylla,11,Maybe,25,NA,NA,3,NA,NA,
29/07/2019,Corymbia calophylla,12,Yes,215,NA,NA,5,NA,NA,
29/07/2019,Corymbia calophylla,13,Yes,110,NA,NA,3,NA,NA,
29/07/2019,Corymbia calophylla,14,Yes,255,NA,NA,11,NA,NA,
29/07/2019,Corymbia calophylla,15,Yes,120,NA,NA,7,NA,NA,
29/07/2019,Corymbia calophylla,16,No,170,NA,NA,11,NA,NA,
29/07/2019,Corymbia calophylla,17,Maybe,145,NA,NA,8,NA,NA,
29/07/2019,Corymbia calophylla,18,Yes,260,165,150,16,6,4,Bottom 2 brown; big leaf dessicating
