Species,Pot_number,Scan_number,Plant_part,Leaf_area,Leaf_area_NI_leaves,Notes
Corymbia calophylla,1,1,Rest_leaves,167.854,,
Corymbia calophylla,1,2,Rest_leaves,169.443,,
Corymbia calophylla,1,3,Rest_leaves,158.454,,
Corymbia calophylla,2,1,Rest_leaves,3.268,,
Corymbia calophylla,4,1,Rest_leaves,32.923,,
Corymbia calophylla,5,1,Rest_leaves,274.735,,
Corymbia calophylla,5,2,Rest_leaves,125.497,,Top right leaf in contact with top line so removed top line area
Corymbia calophylla,5,3,Rest_leaves,264.522,,
Corymbia calophylla,5,4,Rest_leaves,269.68,,Had to minus small line along top
Corymbia calophylla,5,1,A,75.285,,
Corymbia calophylla,5,1,B,140.335,,
Corymbia calophylla,5,1,C,151.144,,
Corymbia calophylla,7,1,Rest_leaves,291.373,,
Corymbia calophylla,7,2,Rest_leaves,242.214,,
Corymbia calophylla,7,3,Rest_leaves,271.233,,Top right leaf in contact with top line so removed top line area
Corymbia calophylla,7,4,Rest_leaves,239.577,,
Corymbia calophylla,7,5,Rest_leaves,250.145,,
Corymbia calophylla,7,6,Rest_leaves,250.567,,
Corymbia calophylla,7,7,Rest_leaves,231.454,,Minus part in the the top right
Corymbia calophylla,7,8,Rest_leaves,258.378,,
Corymbia calophylla,7,9,Rest_leaves,171.403,,
Corymbia calophylla,7,1,A,191.615,,
Corymbia calophylla,7,1,B,291.563,,Top right leaf in contact with top line so removed top line area
Corymbia calophylla,8,1,A,75.532,,
Corymbia calophylla,9,1,Rest_leaves,275.1,,
Corymbia calophylla,9,2,Rest_leaves,301.068,,
Corymbia calophylla,9,3,Rest_leaves,227.374,,
Corymbia calophylla,9,4,Rest_leaves,282.699,,
Corymbia calophylla,9,5,Rest_leaves,207.173,,
Corymbia calophylla,9,1,A,147.169,22.639,NI bottom right
Corymbia calophylla,9,1,B,159.731,,
Corymbia calophylla,13,1,Rest_leaves,16.941,,
Corymbia calophylla,15,1,Rest_leaves,29.459,,
Corymbia calophylla,17,1,Rest_leaves,150.45,,
Corymbia calophylla,18,1,Rest_leaves,284.729,,Minus part in the the top right
Corymbia calophylla,18,2,Rest_leaves,280.295,,
Corymbia calophylla,18,3,Rest_leaves,281.921,,
Corymbia calophylla,18,4,Rest_leaves,279.417,,
Corymbia calophylla,18,5,Rest_leaves,281.837,,
