Pot_number,Composition,Plant_number,Species_where_mixed,Notes,Percent_death_0209,Percent_death_0909,Percent_death_1609,Percent_death_2309,Percent_death_3009,Percent_death_0710,Percent_death_1410,Percent_death_2110
1,BB,1,,,15,10,15,5,5,10,5,5
1,BB,2,,,10,5,10,5,5,5,5,5
2,AADD,1,D,,5,5,5,5,5,5,5,5
2,AADD,2,D,,0,5,5,5,5,5,5,5
2,AADD,3,A,"Bit buried in beads; confirmed as A, often very buried",0,0,0,0,15,80,50,60
2,AADD,4,D,,5,5,5,5,5,5,5,5
3,AACC,1,A,"Five plants in this pot! 500 mm one is not any of my sp.; Only two plants are ~500-560 tall. 23rd and 30th, 5th 100 and also 100 for 4th 30/09; was a ? Updated to A. Could be a C but dead now and I trust prior judment 08/10; 2xC, 2xA, 1x?",,70,100,100,100,100,100,100
3,AACC,2,C, ,,70,95,95,95,100,100,100
3,AACC,3,A,,,80,100,100,100,100,100,100
3,AACC,4,C,,,60,90,100,100,100,100,100
4,AAAA,1,,,5,0,0,5,5,5,5,5
4,AAAA,2,,,20,25,25,30,25,50,60,55
4,AAAA,3,,,0,0,0,0,0,0,0,0
4,AAAA,4,,,0,0,0,0,0,5,0,0
5,DDDD,1,,,5,0,5,5,5,5,5,5
5,DDDD,2,,,0,0,0,5,5,5,5,5
5,DDDD,3,,Left,5,0,5,5,5,10,10,10
5,DDDD,4,,Right,0,0,5,5,5,5,5,5
6,AACC,1,A,,0,0,0,5,0,0,0,5
6,AACC,2,C,,0,0,0,0,5,5,5,10
6,AACC,3,C,,5,5,5,5,5,5,5,5
6,AACC,4,A,,20,0,50,5,55,55,50,100
7,DDDD,1,,,0,0,0,60,5,5,5,5
7,DDDD,2,,,0,0,30,0,15,10,10,15
7,DDDD,3,,,0,0,5,25,5,5,5,5
7,DDDD,4,,,5,0,0,5,5,5,5,5
8,OVAT-C,1,,,20,40,100,95,95,100,100,100
9,AADD,1,D,Check ID,0,0,5,5,5,5,5,5
9,AADD,2,D,"Check ID; was A, updated to D",0,0,5,5,5,5,5,5
9,AADD,3,D,Check ID; was D? updated to D,0,0,5,5,5,5,5,5
9,AADD,4,D,Check ID,0,5,0,5,5,5,5,5
10,BD,1,D,,0,0,90,95,100,100,100,100
10,BD,2,B,,0,30,100,100,100,100,100,100
11,OVAT-C,1,,,0,70,100,100,100,100,100,100
12,AACC,1,C,Old intumescence,5,5,5,5,5,5,5,5
12,AACC,2,A,,20,35,25,30,20,25,25,20
12,AACC,3,C,,15,10,10,5,5,5,5,5
12,AACC,4,A,,20,10,15,5,5,5,5,10
13,CCCC,1,,Right,0,40,85,85,90,90,90,90
13,CCCC,2,,Left,0,80,100,100,100,100,100,100
13,CCCC,3,,,10,60,90,90,95,95,95,100
13,CCCC,4,,,20,60,95,95,95,100,100,100
14,CCCC,1,,,0,0,95,95,95,100,100,100
14,CCCC,2,,,0,0,100,100,100,100,100,100
14,CCCC,3,,Old powdery mildew,70,80,100,100,100,100,100,100
14,CCCC,4,,,10,40,100,100,100,100,100,100
15,AACC,1,A,Dead leaf was buried,5,10,15,15,10,5,5,5
15,AACC,2,C,,5,5,5,5,5,5,5,5
15,AACC,3,C,Old intumescence,0,0,5,0,5,5,5,5
15,AACC,4,?,"Not mine, not my species; confirmed not my sp",5,5,5,5,5,5,10,5
16,AMYG-A,1,,,0,0,0,0,0,0,0,0
17,BB,1,,,0,0,0,0,0,0,0,0
17,BB,2,,,0,0,0,0,0,0,0,0
18,AACC,1,C,,0,60,85,90,85,90,95,100
18,AACC,2,A,,10,80,100,100,100,100,100,100
18,AACC,3,C,,20,95,95,100,100,100,100,100
18,AACC,4,A,,0,30,100,100,100,100,100,100
19,AADD,1,D,,5,5,5,5,5,5,5,5
19,AADD,2,D,Big lignotuber; could 'not my sp' be C? Sometimes weird morphology 23/09,0,5,5,5,5,5,5,5
19,AADD,3,D,,0,5,0,5,5,5,5,5
19,AADD,4,A,,0,0,0,40,25,25,25,25
20,CCDD,1,D,,10,15,60,80,90,100,100,100
20,CCDD,2,C,,5,5,70,95,100,100,100,100
20,CCDD,3,C,,5,5,95,100,100,100,100,100
20,CCDD,4,D,,0,5,95,100,100,100,100,100
21,AMYG-A,1,,,0,15,100,100,100,100,100,100
22,CD,1,D,Intended to be CCDD,5,5,0,5,5,5,5,5
22,CD,2,C,Intended to be CCDD,0,0,0,5,5,5,5,5
23,VIMI-D,1,,,5,5,5,5,5,0,5,5
24,BC,1,C,Check ID,5,5,100,100,100,100,100,100
24,BC,2,C,"Check ID; C, I think. Dead. Not B",100,100,100,100,100,100,100,100
24,BC,3,C,Check ID,35,40,100,100,100,100,100,100
24,BC,4,C,Check ID,10,15,100,100,100,100,100,100
25,AADD,1,A,,0,10,100,100,100,100,100,100
25,AADD,2,A,,0,5,100,100,100,100,100,100
25,AADD,3,D,,0,5,95,100,100,100,100,100
25,AADD,4,D,,0,5,95,95,100,100,100,100
26,AACC,1,A,,5,5,10,5,10,10,10,10
26,AACC,2,A,,0,0,0,0,0,0,0,0
26,AACC,3,C,,0,0,5,15,5,15,25,15
26,AACC,4,C,"Not C? 30/09; Wrong, it is C!; ? ID weirding me out 14/10",0,0,0,0,0,5,5,5
27,BC,1,?,"Not C? 30/09; Correct, not C",5,5,10,5,10,5,5,5
27,BC,2,B,,0,0,10,5,5,5,0,0
28,CCDD,1,D,,10,5,5,5,5,5,5,5
28,CCDD,2,C,,0,5,5,5,5,5,5,5
28,CCDD,3,C,,0,0,5,5,5,5,5,5
28,CCDD,4,D,,0,0,5,5,5,5,5,5
29,AADD,1,D,,0,0,95,100,100,100,100,100
29,AADD,2,D,,5,5,100,100,100,100,100,100
29,AADD,3,A,,0,5,100,100,100,100,100,100
