date_time	probe_1	probe_2	probe_3	probe_4	date_time2
9/02/2021 17:05	0.2596	0.2387	0.2911	0.3125	09/02/21 05:05:00 PM
9/02/2021 19:05	0.2592	0.239	0.2908	0.311	09/02/21 07:05:00 PM
9/02/2021 21:05	0.2592	0.2394	0.2908	0.3102	09/02/21 09:05:00 PM
9/02/2021 23:05	0.2582	0.2394	0.2904	0.3092	09/02/21 11:05:00 PM
9/03/2021 1:05	0.2579	0.239	0.2901	0.3084	09/03/21 01:05:00 AM
9/03/2021 3:05	0.2571	0.2387	0.2898	0.3077	09/03/21 03:05:00 AM
9/03/2021 5:05	0.2564	0.2383	0.2895	0.3069	09/03/21 05:05:00 AM
9/03/2021 7:05	0.2557	0.2367	0.3461	0.3526	09/03/21 07:05:00 AM
9/03/2021 9:05	0.252	0.2311	0.3403	0.3471	09/03/21 09:05:00 AM
9/03/2021 11:05	0.2456	0.2169	0.3295	0.3308	09/03/21 11:05:00 AM
9/03/2021 13:05	0.2374	0.1981	0.3178	0.3195	09/03/21 01:05:00 PM
9/03/2021 15:05	0.2274	0.1866	0.3092	0.3106	09/03/21 03:05:00 PM
9/03/2021 17:05	0.2219	0.1779	0.3054	0.3058	09/03/21 05:05:00 PM
9/03/2021 19:05	0.2185	0.1752	0.3048	0.3048	09/03/21 07:05:00 PM
9/03/2021 21:05	0.2174	0.1738	0.304	0.3043	09/03/21 09:05:00 PM
9/03/2021 23:05	0.2161	0.1728	0.3037	0.304	09/03/21 11:05:00 PM
9/04/2021 1:05	0.2153	0.1714	0.3037	0.3033	09/04/21 01:05:00 AM
9/04/2021 3:05	0.2139	0.1709	0.3029	0.3029	09/04/21 03:05:00 AM
9/04/2021 5:05	0.2139	0.1685	0.3026	0.3026	09/04/21 05:05:00 AM
9/04/2021 7:05	0.2122	0.1677	0.3022	0.3022	09/04/21 07:05:00 AM
9/04/2021 9:05	0.2064	0.1585	0.338	0.3339	09/04/21 09:05:00 AM
9/04/2021 11:05	0.2056	0.1466	0.3235	0.3216	09/04/21 11:05:00 AM
9/04/2021 13:05	0.1976	0.1357	0.314	0.3121	09/04/21 01:05:00 PM
9/04/2021 15:05	0.1862	0.129	0.3062	0.3043	09/04/21 03:05:00 PM
9/04/2021 17:05	0.1779	0.1209	0.3022	0.2987	09/04/21 05:05:00 PM
9/04/2021 19:05	0.1738	0.1179	0.3011	0.2979	09/04/21 07:05:00 PM
9/04/2021 21:05	0.1709	0.1153	0.3008	0.2976	09/04/21 09:05:00 PM
9/04/2021 23:05	0.1685	0.1138	0.3008	0.297	09/04/21 11:05:00 PM
9/05/2021 1:05	0.1663	0.1117	0.3005	0.2966	09/05/21 01:05:00 AM
9/05/2021 3:05	0.1642	0.1101	0.3001	0.2963	09/05/21 03:05:00 AM
9/05/2021 5:05	0.1629	0.1091	0.2997	0.2959	09/05/21 05:05:00 AM
9/05/2021 7:05	0.1608	0.1069	0.2994	0.2952	09/05/21 07:05:00 AM
9/05/2021 9:05	0.157	0.1047	0.297	0.2908	09/05/21 09:05:00 AM
9/05/2021 11:05	0.1547	0.1009	0.3299	0.3282	09/05/21 11:05:00 AM
9/05/2021 13:05	0.1446	0.0932	0.3219	0.3192	09/05/21 01:05:00 PM
9/05/2021 15:05	0.1366	0.0887	0.3187	0.3144	09/05/21 03:05:00 PM
9/05/2021 17:05	0.1307	0.0841	0.3171	0.3118	09/05/21 05:05:00 PM
9/05/2021 19:05	0.1256	0.0803	0.316	0.3106	09/05/21 07:05:00 PM
9/05/2021 21:05	0.1219	0.0775	0.3148	0.3095	09/05/21 09:05:00 PM
9/05/2021 23:05	0.1194	0.0752	0.314	0.3087	09/05/21 11:05:00 PM
