 Pot_number,Composition,Leaf_count_excl_TBs,Wood_volume,Leaf_area_excl_TBs,Fresh_mass_leaves,Dry_mass_leaves,Wood_dry_mass,Rest_dry_mass
120,AMYG-A,125,0.69,534.494,13.892,5.085,305.2,8.14
56,OVAT-C,28,1.04,308.377,9.455,3.273,490.8,12.78
62,VIMI-D,204,1.05,789.905,18.2641,8.9365,463.5,15.68
64,OVAT-C,55,1.81,948.734,22.943,9.2583,881.4,15.55
73,AAAA,95,0.43,366.485,10.3548,3.3444,233.7,8.39
76,VIMI-D,219,0.99,567.463,14.851,5.816,463.8,16.79
79,VIMI-D,339,0.76,977.055,23.236,10.7545,350.7,14.45
96,OBLI-B,22,0.51,864.844,25.708,8.6775,243.8,9.1
101,OVAT-C,42,0.97,569.655,15.9829,6.6506,443.8,9.54
16,AMYG-A,178,0.77,707.788,20.198,7.24,420.5,7.55
23,VIMI-D,301,0.67,805.189,20.8427,9.2402,358.4,12.03
38,OBLI-B,19,0.85,533.795,16.1423,5.01,373.9,8.89
40,VIMI-D,355,1.04,1491.587,30.4121,13.852,535.1,15.6
72,AMYG-A,107,0.88,450.509,14.4862,4.7295,375.4,12.16
104,OVAT-C,9,0.99,68.339,2.0039,0.665,449.9,14.01
109,OVAT-C,53,0.56,931.713,23.8646,8.962,273.3,6.99
114,VIMI-D,213,0.99,628.227,15.6634,6.456,442.7,9.32
84,AB,9,0.13,208.466,5.2088,0.9869,63.2,1.29
