Species,Pot_number,Treatment
Corymbia calophylla,1,C
Corymbia calophylla,2,D
Corymbia calophylla,3,D
Corymbia calophylla,4,D
Corymbia calophylla,5,C
Corymbia calophylla,6,D
Corymbia calophylla,7,C
Corymbia calophylla,8,D
Corymbia calophylla,9,C
Corymbia calophylla,10,D
Corymbia calophylla,11,D
Corymbia calophylla,12,D
Corymbia calophylla,13,C
Corymbia calophylla,14,D
Corymbia calophylla,15,D
Corymbia calophylla,16,H
Corymbia calophylla,17,D
Corymbia calophylla,18,C
Corymbia calophylla,19,C
Corymbia calophylla,20,H
Corymbia calophylla,21,D
Corymbia calophylla,22,H
Corymbia calophylla,23,D
Corymbia calophylla,24,D
Corymbia calophylla,25,C
Corymbia calophylla,26,C
Corymbia calophylla,27,C
Corymbia calophylla,29,C
Corymbia calophylla,30,D
Corymbia calophylla,31,C
Corymbia calophylla,32,C
Corymbia calophylla,33,C
Corymbia calophylla,34,H
Corymbia calophylla,35,C
Corymbia calophylla,36,C
Corymbia calophylla,37,C
Corymbia calophylla,38,C
Corymbia calophylla,39,D
Corymbia calophylla,40,C
Corymbia calophylla,41,D
Corymbia calophylla,42,D
Corymbia calophylla,43,H
Eucalyptus ovata,1,D
Eucalyptus ovata,2,D
Eucalyptus ovata,3,D
Eucalyptus ovata,4,C
Eucalyptus ovata,5,H
Eucalyptus ovata,7,D
Eucalyptus ovata,8,D
Eucalyptus ovata,9,D
Eucalyptus ovata,10,C
Eucalyptus ovata,11,H
Eucalyptus ovata,12,D
Eucalyptus ovata,13,C
Eucalyptus ovata,14,D
Eucalyptus ovata,15,D
Eucalyptus ovata,16,C
Eucalyptus ovata,17,C
Eucalyptus ovata,18,H
Eucalyptus ovata,19,D
Eucalyptus ovata,20,C
Eucalyptus ovata,21,C
Eucalyptus ovata,22,C
Eucalyptus ovata,23,D
Eucalyptus ovata,24,H
Eucalyptus ovata,25,D
Eucalyptus ovata,26,C
Eucalyptus ovata,27,D
Eucalyptus ovata,28,D
Eucalyptus ovata,29,C
Eucalyptus ovata,30,C
Eucalyptus ovata,31,H
Eucalyptus ovata,32,C
Eucalyptus ovata,33,C
Eucalyptus salmonophloia,1,D
Eucalyptus salmonophloia,2,C
Eucalyptus salmonophloia,3,D
Eucalyptus salmonophloia,5,C
